Trait,Metric,Method,Annotation,Score,Score SE
White Blood Cell Count,tau_star,S-LDSC,MAFbin8,0.23362408115813096,0.07967351236825591
White Blood Cell Count,tau_star,S-LDSC,MAFbin9,0.21701595507382704,0.09163457878815841
White Blood Cell Count,tau_star,S-LDSC,MAFbin10,0.08839547676989354,0.07870204449791884
White Blood Cell Count,tau_star,S-LDSC,MAF_Adj_Predicted_Allele_Age,-0.17773736951252456,0.09367363878304838
White Blood Cell Count,tau_star,S-LDSC,MAF_Adj_LLD_AFR,-0.1253234097316468,0.07002135283702418
White Blood Cell Count,tau_star,S-LDSC,Recomb_Rate_10kb,-0.08051674781365842,0.04157816324223267
White Blood Cell Count,tau_star,S-LDSC,Nucleotide_Diversity_10kb,-0.12803678760222761,0.06515086883511217
White Blood Cell Count,tau_star,S-LDSC,Backgrd_Selection_Stat,0.13162640984286442,0.08894966782191574
White Blood Cell Count,tau_star,S-LDSC,CpG_Content_50kb,0.04233071163599093,0.06504846469312113
White Blood Cell Count,tau_star,S-LDSC,MAF_Adj_ASMC,-0.053904762352715505,0.07373729880271364
White Blood Cell Count,tau_star,S-LDSC,GTEx_eQTL_MaxCPP,0.7939463449519341,0.21178348262686866
White Blood Cell Count,tau_star,S-LDSC,BLUEPRINT_H3K27acQTL_MaxCPP,1.1885194923607314,0.25601464855079886
White Blood Cell Count,tau_star,S-LDSC,BLUEPRINT_H3K4me1QTL_MaxCPP,0.6174962772543163,0.25051704501362715
White Blood Cell Count,tau_star,S-LDSC,BLUEPRINT_DNA_methylation_MaxCPP,0.24107931168017446,0.1459647618476763
White Blood Cell Count,tau_star,S-LDSC,synonymous,-0.696119478757539,0.28736451745018304
White Blood Cell Count,tau_star,S-LDSC,non_synonymous,0.2774799828639532,0.21240536104880017
White Blood Cell Count,tau_star,S-LDSC,Conserved_Vertebrate_phastCons46way,-0.15624037206533103,0.2514394974291419
White Blood Cell Count,tau_star,S-LDSC,Conserved_Vertebrate_phastCons46way.flanking.500,-0.4172798090540253,0.2855844275723307
White Blood Cell Count,tau_star,S-LDSC,Conserved_Mammal_phastCons46way,-0.05985470898212924,0.3415478866907655
White Blood Cell Count,tau_star,S-LDSC,Conserved_Mammal_phastCons46way.flanking.500,0.38691485158047634,0.33826631236894894
White Blood Cell Count,tau_star,S-LDSC,Conserved_Primate_phastCons46way,0.12128237611153202,0.20503416385085263
White Blood Cell Count,tau_star,S-LDSC,Conserved_Primate_phastCons46way.flanking.500,0.23783244865209235,0.16279432889451387
White Blood Cell Count,tau_star,S-LDSC,BivFlnk,-0.36880286875937995,0.17357819289454482
White Blood Cell Count,tau_star,S-LDSC,BivFlnk.flanking.500,0.1897611495999821,0.23635460497241717
White Blood Cell Count,tau_star,S-LDSC,Human_Promoter_Villar,-0.2775922711449099,0.21666543092235946
White Blood Cell Count,tau_star,S-LDSC,Human_Promoter_Villar.flanking.500,-0.217461973854916,0.45329583032579984
White Blood Cell Count,tau_star,S-LDSC,Human_Enhancer_Villar,-0.33143806474786813,0.2197364067804606
White Blood Cell Count,tau_star,S-LDSC,Human_Enhancer_Villar.flanking.500,0.28545573147988557,0.2371583736575464
White Blood Cell Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Promoter,1.0121362534532,0.259142804269159
White Blood Cell Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Promoter.flanking.500,0.6039670495580719,0.34362792015381577
White Blood Cell Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Enhancer,0.8602955570721769,0.29492118555020314
White Blood Cell Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-0.22579561745190058,0.1999395902929047
White Blood Cell Count,tau_star,S-LDSC,Human_Enhancer_Villar_Species_Enhancer_Count,0.540461409458443,0.21092687628126547
White Blood Cell Count,tau_star,S-LDSC,Human_Promoter_Villar_ExAC,0.335421034708703,0.2654539781647987
White Blood Cell Count,tau_star,S-LDSC,Human_Promoter_Villar_ExAC.flanking.500,-0.051625798556170464,0.29760740257818347
White Blood Cell Count,tau_star,S-LD2MAF,base,0.0,0.0
White Blood Cell Count,tau_star,S-LD2MAF,Coding_UCSC,0.3556124382045065,0.3470356663227012
White Blood Cell Count,tau_star,S-LD2MAF,Coding_UCSC.flanking.500,-0.04268511002575235,0.12767299435135235
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_LindbladToh,0.40109776720974144,0.27121729832656893
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_LindbladToh.flanking.500,-0.17052205782875599,0.2560748160341745
White Blood Cell Count,tau_star,S-LD2MAF,CTCF_Hoffman,-0.22896604717417665,0.16921719567977547
White Blood Cell Count,tau_star,S-LD2MAF,CTCF_Hoffman.flanking.500,-0.07869244010520751,0.15702468848291606
White Blood Cell Count,tau_star,S-LD2MAF,DGF_ENCODE,0.15816669210218232,0.24540077318058728
White Blood Cell Count,tau_star,S-LD2MAF,DGF_ENCODE.flanking.500,0.22013255094282602,0.14878365179224515
White Blood Cell Count,tau_star,S-LD2MAF,DHS_peaks_Trynka,-0.07436998948228153,0.37061754310914113
White Blood Cell Count,tau_star,S-LD2MAF,DHS_Trynka,-0.4126316827029975,0.3976141719072199
White Blood Cell Count,tau_star,S-LD2MAF,DHS_Trynka.flanking.500,-0.03140171324828069,0.23962129043664904
White Blood Cell Count,tau_star,S-LD2MAF,Enhancer_Andersson,0.8764816353001788,0.23134365597144105
White Blood Cell Count,tau_star,S-LD2MAF,Enhancer_Andersson.flanking.500,0.030314742795998308,0.22030841050162278
White Blood Cell Count,tau_star,S-LD2MAF,Enhancer_Hoffman,0.2901180804277464,0.2837294635434947
White Blood Cell Count,tau_star,S-LD2MAF,Enhancer_Hoffman.flanking.500,0.26480369300537165,0.2304732148234192
White Blood Cell Count,tau_star,S-LD2MAF,FetalDHS_Trynka,0.32525906674665406,0.25474163776816916
White Blood Cell Count,tau_star,S-LD2MAF,FetalDHS_Trynka.flanking.500,0.019503589816222452,0.17760055860631574
White Blood Cell Count,tau_star,S-LD2MAF,H3K27ac_Hnisz,0.09994815496092245,0.0841091057211361
White Blood Cell Count,tau_star,S-LD2MAF,H3K27ac_Hnisz.flanking.500,-0.1135249661820042,0.13065105636770893
White Blood Cell Count,tau_star,S-LD2MAF,H3K27ac_PGC2,0.0909242145990354,0.14249459540635576
White Blood Cell Count,tau_star,S-LD2MAF,H3K27ac_PGC2.flanking.500,-0.08262381999131774,0.18090358757421346
White Blood Cell Count,tau_star,S-LD2MAF,H3K4me1_peaks_Trynka,0.12801788182571167,0.2654210712883481
White Blood Cell Count,tau_star,S-LD2MAF,H3K4me1_Trynka,0.20510859607237045,0.18269856470742762
White Blood Cell Count,tau_star,S-LD2MAF,H3K4me1_Trynka.flanking.500,-0.5328971050302648,0.1406042036207302
White Blood Cell Count,tau_star,S-LD2MAF,H3K4me3_peaks_Trynka,-0.23406176856270455,0.321276761156674
White Blood Cell Count,tau_star,S-LD2MAF,H3K4me3_Trynka,0.6107493042003014,0.2338979929871253
White Blood Cell Count,tau_star,S-LD2MAF,H3K4me3_Trynka.flanking.500,-0.024783537443684556,0.1904493784943936
White Blood Cell Count,tau_star,S-LD2MAF,H3K9ac_peaks_Trynka,-0.10825239546709876,0.2679563572159143
White Blood Cell Count,tau_star,S-LD2MAF,H3K9ac_Trynka,-0.5128892584348902,0.26757209299421086
White Blood Cell Count,tau_star,S-LD2MAF,H3K9ac_Trynka.flanking.500,-0.2552627191359171,0.15163743591266324
White Blood Cell Count,tau_star,S-LD2MAF,Intron_UCSC,-0.08121164031206969,0.02850930588342166
White Blood Cell Count,tau_star,S-LD2MAF,Intron_UCSC.flanking.500,0.7359744290125863,0.3869787052904874
White Blood Cell Count,tau_star,S-LD2MAF,PromoterFlanking_Hoffman,0.035737152902794334,0.2752898492971445
White Blood Cell Count,tau_star,S-LD2MAF,PromoterFlanking_Hoffman.flanking.500,-0.058568140953568576,0.17567474351091303
White Blood Cell Count,tau_star,S-LD2MAF,Promoter_UCSC,-0.19019524260182483,0.1732729966983639
White Blood Cell Count,tau_star,S-LD2MAF,Promoter_UCSC.flanking.500,-0.0031527351299863336,0.2019801409893063
White Blood Cell Count,tau_star,S-LD2MAF,Repressed_Hoffman,0.010267553088934825,0.17811552931524163
White Blood Cell Count,tau_star,S-LD2MAF,Repressed_Hoffman.flanking.500,-0.09844764543204922,0.12599517103791766
White Blood Cell Count,tau_star,S-LD2MAF,SuperEnhancer_Hnisz,0.07231896408336597,0.06450724560932915
White Blood Cell Count,tau_star,S-LD2MAF,SuperEnhancer_Hnisz.flanking.500,0.04640197276041873,0.18529073921866251
White Blood Cell Count,tau_star,S-LD2MAF,TFBS_ENCODE,0.3061154004473278,0.191124533179186
White Blood Cell Count,tau_star,S-LD2MAF,TFBS_ENCODE.flanking.500,-0.47018760903716506,0.14871605814946837
White Blood Cell Count,tau_star,S-LD2MAF,Transcr_Hoffman,0.05492867574725689,0.14033051514340536
White Blood Cell Count,tau_star,S-LD2MAF,Transcr_Hoffman.flanking.500,-0.07002252800997073,0.1231538008976385
White Blood Cell Count,tau_star,S-LD2MAF,TSS_Hoffman,0.5442867716863321,0.2930231099657996
White Blood Cell Count,tau_star,S-LD2MAF,TSS_Hoffman.flanking.500,-0.39725143113818173,0.2961904231325686
White Blood Cell Count,tau_star,S-LD2MAF,UTR_3_UCSC,-0.01409570963378528,0.27716682865746683
White Blood Cell Count,tau_star,S-LD2MAF,UTR_3_UCSC.flanking.500,-0.04972267105335393,0.14509516927767496
White Blood Cell Count,tau_star,S-LD2MAF,UTR_5_UCSC,-0.44426662015360086,0.15224786210211494
White Blood Cell Count,tau_star,S-LD2MAF,UTR_5_UCSC.flanking.500,-0.12720663987432285,0.16399619211643687
White Blood Cell Count,tau_star,S-LD2MAF,WeakEnhancer_Hoffman,-0.06212213986016608,0.1946068829631323
White Blood Cell Count,tau_star,S-LD2MAF,WeakEnhancer_Hoffman.flanking.500,-0.24836451803765325,0.17065980773306177
White Blood Cell Count,tau_star,S-LD2MAF,GERP.NS,0.047312929147584115,0.13541551940580024
White Blood Cell Count,tau_star,S-LD2MAF,GERP.RSsup4,0.1779363987352882,0.19735309149008096
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin1,-0.0018043986476555497,0.037022567262892436
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin2,0.0926704947401829,0.04175648125555259
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin3,0.04785846929287271,0.04577648959371113
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin4,0.10312156407943199,0.046518648039680525
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin5,0.17580504099548175,0.05804198297051425
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin6,0.062169738786367224,0.0592445135521506
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin7,0.15665939156298903,0.07242703642935219
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin8,0.23934561621593822,0.08038138013495685
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin9,0.21799784316456247,0.09098085849362987
White Blood Cell Count,tau_star,S-LD2MAF,MAFbin10,0.1014783365478995,0.07812066923512669
White Blood Cell Count,tau_star,S-LD2MAF,MAF_Adj_Predicted_Allele_Age,-0.1497078456437342,0.08977513304291143
White Blood Cell Count,tau_star,S-LD2MAF,MAF_Adj_LLD_AFR,-0.10819527743667304,0.06927585283219588
White Blood Cell Count,tau_star,S-LD2MAF,Recomb_Rate_10kb,-0.08961225052718985,0.042630225855225815
White Blood Cell Count,tau_star,S-LD2MAF,Nucleotide_Diversity_10kb,-0.12985724633284584,0.06433219500984717
White Blood Cell Count,tau_star,S-LD2MAF,Backgrd_Selection_Stat,0.140867722520731,0.08592927842127
White Blood Cell Count,tau_star,S-LD2MAF,CpG_Content_50kb,0.054450601188106906,0.0641874785392442
White Blood Cell Count,tau_star,S-LD2MAF,MAF_Adj_ASMC,-0.06023943453759976,0.07358927513538344
White Blood Cell Count,tau_star,S-LD2MAF,GTEx_eQTL_MaxCPP,0.78402384891684,0.21249142602651103
White Blood Cell Count,tau_star,S-LD2MAF,BLUEPRINT_H3K27acQTL_MaxCPP,1.1920694912995227,0.25780436311477517
White Blood Cell Count,tau_star,S-LD2MAF,BLUEPRINT_H3K4me1QTL_MaxCPP,0.61442474524672,0.25225667935228163
White Blood Cell Count,tau_star,S-LD2MAF,BLUEPRINT_DNA_methylation_MaxCPP,0.2262503519007815,0.14540786995272473
White Blood Cell Count,tau_star,S-LD2MAF,synonymous,-0.7323068949242848,0.29372643642666774
White Blood Cell Count,tau_star,S-LD2MAF,non_synonymous,0.24747569740996764,0.21233910619007193
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_Vertebrate_phastCons46way,-0.17413007068315034,0.2536687651081374
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_Vertebrate_phastCons46way.flanking.500,-0.4214875906394059,0.2860361570472864
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_Mammal_phastCons46way,-0.11675984404727197,0.35318219803856593
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_Mammal_phastCons46way.flanking.500,0.4257608933873616,0.34448971754698426
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_Primate_phastCons46way,0.13908704985003084,0.20573266013801544
White Blood Cell Count,tau_star,S-LD2MAF,Conserved_Primate_phastCons46way.flanking.500,0.19791818795975527,0.16876969895519867
White Blood Cell Count,tau_star,S-LD2MAF,BivFlnk,-0.38479966897498896,0.18250534079765607
White Blood Cell Count,tau_star,S-LD2MAF,BivFlnk.flanking.500,0.20050559203338708,0.2433077403472563
White Blood Cell Count,tau_star,S-LD2MAF,Human_Promoter_Villar,-0.25626345172366977,0.22196241789963964
White Blood Cell Count,tau_star,S-LD2MAF,Human_Promoter_Villar.flanking.500,-0.2739275906687152,0.45110203913535085
White Blood Cell Count,tau_star,S-LD2MAF,Human_Enhancer_Villar,-0.31193308063751385,0.21914084703724224
White Blood Cell Count,tau_star,S-LD2MAF,Human_Enhancer_Villar.flanking.500,0.2806895944084917,0.2409304934265999
White Blood Cell Count,tau_star,S-LD2MAF,Ancient_Sequence_Age_Human_Promoter,0.9998772733181809,0.2781101291902504
White Blood Cell Count,tau_star,S-LD2MAF,Ancient_Sequence_Age_Human_Promoter.flanking.500,0.5877917293995495,0.3609649532920221
White Blood Cell Count,tau_star,S-LD2MAF,Ancient_Sequence_Age_Human_Enhancer,0.8695921750798509,0.28980577900003707
White Blood Cell Count,tau_star,S-LD2MAF,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-0.23152221400834003,0.2077262326061812
White Blood Cell Count,tau_star,S-LD2MAF,Human_Enhancer_Villar_Species_Enhancer_Count,0.5120551829141946,0.2061612949818669
White Blood Cell Count,tau_star,S-LD2MAF,Human_Promoter_Villar_ExAC,0.32917169701332233,0.26640809246635233
White Blood Cell Count,tau_star,S-LD2MAF,Human_Promoter_Villar_ExAC.flanking.500,-0.029926722034952745,0.3052596394761326
White Blood Cell Count,tau_star,S-LD2,base,0.0,0.0
White Blood Cell Count,tau_star,S-LD2,Coding_UCSC,1.5268529832415865,1.3269141374743867
White Blood Cell Count,tau_star,S-LD2,Coding_UCSC.flanking.500,-0.5540005182402046,0.49082180992443736
White Blood Cell Count,tau_star,S-LD2,Conserved_LindbladToh,2.0050591455232385,1.1125764589475295
White Blood Cell Count,tau_star,S-LD2,Conserved_LindbladToh.flanking.500,-1.1368958286030857,0.9587522452748864
White Blood Cell Count,tau_star,S-LD2,CTCF_Hoffman,-0.5000125317243971,0.7372820786563813
White Blood Cell Count,tau_star,S-LD2,CTCF_Hoffman.flanking.500,-0.06739343969634622,0.7673733523216678
White Blood Cell Count,tau_star,S-LD2,DGF_ENCODE,1.27574475264209,1.0189043551191548
White Blood Cell Count,tau_star,S-LD2,DGF_ENCODE.flanking.500,0.7673222021125091,0.6520409186774196
White Blood Cell Count,tau_star,S-LD2,DHS_peaks_Trynka,0.7314992666805611,1.6473412794293611
White Blood Cell Count,tau_star,S-LD2,DHS_Trynka,-2.0479494287918363,1.6155980834945527
White Blood Cell Count,tau_star,S-LD2,DHS_Trynka.flanking.500,-0.09529798867310117,1.0193763271781207
White Blood Cell Count,tau_star,S-LD2,Enhancer_Andersson,3.366279335369808,1.0547496015739901
White Blood Cell Count,tau_star,S-LD2,Enhancer_Andersson.flanking.500,0.1676069430074707,0.9112121625850957
White Blood Cell Count,tau_star,S-LD2,Enhancer_Hoffman,1.081400609188229,1.2371750419114758
White Blood Cell Count,tau_star,S-LD2,Enhancer_Hoffman.flanking.500,0.8345731345884441,1.0603802986889233
White Blood Cell Count,tau_star,S-LD2,FetalDHS_Trynka,1.0427243902438676,1.2539327788506913
White Blood Cell Count,tau_star,S-LD2,FetalDHS_Trynka.flanking.500,-0.22806784630374166,0.7796629600382935
White Blood Cell Count,tau_star,S-LD2,H3K27ac_Hnisz,0.22106173884957636,0.328966543617595
White Blood Cell Count,tau_star,S-LD2,H3K27ac_Hnisz.flanking.500,-0.4893911481562816,0.5431800292320901
White Blood Cell Count,tau_star,S-LD2,H3K27ac_PGC2,0.43752367776442813,0.5548130003282075
White Blood Cell Count,tau_star,S-LD2,H3K27ac_PGC2.flanking.500,-0.19499514155174197,0.7671159246918531
White Blood Cell Count,tau_star,S-LD2,H3K4me1_peaks_Trynka,-0.04283746079636694,1.0486708221090348
White Blood Cell Count,tau_star,S-LD2,H3K4me1_Trynka,1.4715050693180003,0.7788580841867508
White Blood Cell Count,tau_star,S-LD2,H3K4me1_Trynka.flanking.500,-2.062514426415671,0.534870772784252
White Blood Cell Count,tau_star,S-LD2,H3K4me3_peaks_Trynka,-1.0597039527034104,1.6357389158433653
White Blood Cell Count,tau_star,S-LD2,H3K4me3_Trynka,2.357407088162897,1.0244367371751864
White Blood Cell Count,tau_star,S-LD2,H3K4me3_Trynka.flanking.500,0.1999779777862213,0.8120037523315895
White Blood Cell Count,tau_star,S-LD2,H3K9ac_peaks_Trynka,0.03114685837316892,1.2048490310809772
White Blood Cell Count,tau_star,S-LD2,H3K9ac_Trynka,-2.327959620328051,1.0526043370935263
White Blood Cell Count,tau_star,S-LD2,H3K9ac_Trynka.flanking.500,-1.2295308872095558,0.7003961608890318
White Blood Cell Count,tau_star,S-LD2,Intron_UCSC,-0.35853882215964694,0.10656330921508601
White Blood Cell Count,tau_star,S-LD2,Intron_UCSC.flanking.500,2.9362634274424675,1.7284894400295845
White Blood Cell Count,tau_star,S-LD2,PromoterFlanking_Hoffman,0.18356879231840367,1.332042439370388
White Blood Cell Count,tau_star,S-LD2,PromoterFlanking_Hoffman.flanking.500,-0.16776608544665852,0.8806525570107504
White Blood Cell Count,tau_star,S-LD2,Promoter_UCSC,-0.816308231606924,0.7056169519937278
White Blood Cell Count,tau_star,S-LD2,Promoter_UCSC.flanking.500,-0.24506947057321074,0.8374901313909222
White Blood Cell Count,tau_star,S-LD2,Repressed_Hoffman,0.3215424305494167,0.6758515806413126
White Blood Cell Count,tau_star,S-LD2,Repressed_Hoffman.flanking.500,-0.6490510760432586,0.49185745834435723
White Blood Cell Count,tau_star,S-LD2,SuperEnhancer_Hnisz,0.3944378310325953,0.25412758504997063
White Blood Cell Count,tau_star,S-LD2,SuperEnhancer_Hnisz.flanking.500,0.22170655592716879,0.7464918213672549
White Blood Cell Count,tau_star,S-LD2,TFBS_ENCODE,0.9798564625646605,0.7434242846474207
White Blood Cell Count,tau_star,S-LD2,TFBS_ENCODE.flanking.500,-1.712657040963136,0.6556865598636189
White Blood Cell Count,tau_star,S-LD2,Transcr_Hoffman,0.5350516499106166,0.5265102132799404
White Blood Cell Count,tau_star,S-LD2,Transcr_Hoffman.flanking.500,-0.0689516542470444,0.4929460191150752
White Blood Cell Count,tau_star,S-LD2,TSS_Hoffman,3.0206843205936407,1.1090263315710849
White Blood Cell Count,tau_star,S-LD2,TSS_Hoffman.flanking.500,-2.0080743659012463,1.273745225916567
White Blood Cell Count,tau_star,S-LD2,UTR_3_UCSC,-0.24744118498567977,1.0418676284780755
White Blood Cell Count,tau_star,S-LD2,UTR_3_UCSC.flanking.500,0.0864658876287545,0.5263499403395849
White Blood Cell Count,tau_star,S-LD2,UTR_5_UCSC,-1.085511866956108,0.5786119634497134
White Blood Cell Count,tau_star,S-LD2,UTR_5_UCSC.flanking.500,-0.27883577526375,0.7297673437210856
White Blood Cell Count,tau_star,S-LD2,WeakEnhancer_Hoffman,-0.6022255345166934,0.7868191594637085
White Blood Cell Count,tau_star,S-LD2,WeakEnhancer_Hoffman.flanking.500,-0.61173535771667,0.6558218178541471
White Blood Cell Count,tau_star,S-LD2,GERP.NS,0.20665367218974365,0.5557812332833433
White Blood Cell Count,tau_star,S-LD2,GERP.RSsup4,1.121355939624708,0.9483941910435822
White Blood Cell Count,tau_star,S-LD2,MAFbin1,-0.05568860907758608,0.3296958178561089
White Blood Cell Count,tau_star,S-LD2,MAFbin2,0.26114769956903383,0.32792706240285274
White Blood Cell Count,tau_star,S-LD2,MAFbin3,0.01431175379798873,0.2726831890851236
White Blood Cell Count,tau_star,S-LD2,MAFbin4,-0.009238675042115263,0.30562004065522286
White Blood Cell Count,tau_star,S-LD2,MAFbin5,0.1458038541364253,0.26950039652693963
White Blood Cell Count,tau_star,S-LD2,MAFbin6,-0.4541684309479083,0.32895146980005124
White Blood Cell Count,tau_star,S-LD2,MAFbin7,-0.26405725808262615,0.29426924391724746
White Blood Cell Count,tau_star,S-LD2,MAFbin8,0.02616300148728784,0.384257775621815
White Blood Cell Count,tau_star,S-LD2,MAFbin9,-0.2617104544029131,0.30559190013401405
White Blood Cell Count,tau_star,S-LD2,MAFbin10,-0.4274941348701325,0.2961736642583596
White Blood Cell Count,tau_star,S-LD2,MAF_Adj_Predicted_Allele_Age,-0.4500436839086348,0.3422083253770096
White Blood Cell Count,tau_star,S-LD2,MAF_Adj_LLD_AFR,-0.17534568357021976,0.26115344225247195
White Blood Cell Count,tau_star,S-LD2,Recomb_Rate_10kb,-0.2570024879561391,0.15644453057706503
White Blood Cell Count,tau_star,S-LD2,Nucleotide_Diversity_10kb,-0.6905345487717531,0.28498370395423445
White Blood Cell Count,tau_star,S-LD2,Backgrd_Selection_Stat,0.8445707300915181,0.3927267083584308
White Blood Cell Count,tau_star,S-LD2,CpG_Content_50kb,0.4555659296097854,0.2551603373503029
White Blood Cell Count,tau_star,S-LD2,MAF_Adj_ASMC,-0.04438318996427997,0.3042590911187224
White Blood Cell Count,tau_star,S-LD2,GTEx_eQTL_MaxCPP,2.404792585234275,0.7232444072038304
White Blood Cell Count,tau_star,S-LD2,BLUEPRINT_H3K27acQTL_MaxCPP,2.783261295451416,0.7985468061935841
White Blood Cell Count,tau_star,S-LD2,BLUEPRINT_H3K4me1QTL_MaxCPP,1.1029961623117772,0.7108013205627686
White Blood Cell Count,tau_star,S-LD2,BLUEPRINT_DNA_methylation_MaxCPP,0.2245340831693677,0.453448679061321
White Blood Cell Count,tau_star,S-LD2,synonymous,-2.9443545520769647,1.4028888898453222
White Blood Cell Count,tau_star,S-LD2,non_synonymous,1.2708043083240093,1.0480990906312857
White Blood Cell Count,tau_star,S-LD2,Conserved_Vertebrate_phastCons46way,-0.9716122492868401,1.031919422962429
White Blood Cell Count,tau_star,S-LD2,Conserved_Vertebrate_phastCons46way.flanking.500,-1.6120397910355326,1.1505546077703224
White Blood Cell Count,tau_star,S-LD2,Conserved_Mammal_phastCons46way,-0.6780081122858805,1.534952021109996
White Blood Cell Count,tau_star,S-LD2,Conserved_Mammal_phastCons46way.flanking.500,1.8128364973069955,1.4311737960026372
White Blood Cell Count,tau_star,S-LD2,Conserved_Primate_phastCons46way,0.21517614879399305,0.9125248824445775
White Blood Cell Count,tau_star,S-LD2,Conserved_Primate_phastCons46way.flanking.500,0.9956503343859806,0.6797611617892968
White Blood Cell Count,tau_star,S-LD2,BivFlnk,-1.8464542390122949,0.7201499916021956
White Blood Cell Count,tau_star,S-LD2,BivFlnk.flanking.500,0.8005810149503664,0.987021208999883
White Blood Cell Count,tau_star,S-LD2,Human_Promoter_Villar,-1.3469881350608424,0.8776566350152155
White Blood Cell Count,tau_star,S-LD2,Human_Promoter_Villar.flanking.500,-1.5755810360984515,2.0300854068196603
White Blood Cell Count,tau_star,S-LD2,Human_Enhancer_Villar,-1.6118444505041563,0.8299699663728776
White Blood Cell Count,tau_star,S-LD2,Human_Enhancer_Villar.flanking.500,2.163995884801514,1.1877297246957657
White Blood Cell Count,tau_star,S-LD2,Ancient_Sequence_Age_Human_Promoter,4.708798557162989,1.1758400473195139
White Blood Cell Count,tau_star,S-LD2,Ancient_Sequence_Age_Human_Promoter.flanking.500,2.2578819041366924,1.6105658593956929
White Blood Cell Count,tau_star,S-LD2,Ancient_Sequence_Age_Human_Enhancer,3.459640779073689,1.0635365088073163
White Blood Cell Count,tau_star,S-LD2,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-1.1109802179231985,0.9156375867550006
White Blood Cell Count,tau_star,S-LD2,Human_Enhancer_Villar_Species_Enhancer_Count,2.0918612560894436,0.7338013088383702
White Blood Cell Count,tau_star,S-LD2,Human_Promoter_Villar_ExAC,1.0858454383918241,1.0181645285094056
White Blood Cell Count,tau_star,S-LD2,Human_Promoter_Villar_ExAC.flanking.500,-0.04961875220306309,1.2051643286190301
Heel T Score,tau,S-LDSC,base,-1.3371163207092944e-07,3.711215278075075e-08
Heel T Score,tau,S-LDSC,Coding_UCSC,4.865751153836375e-09,1.3879005898471464e-07
Heel T Score,tau,S-LDSC,Coding_UCSC.flanking.500,-1.2044226369711308e-07,3.198740520350343e-08
Heel T Score,tau,S-LDSC,Conserved_LindbladToh,-9.391569233230116e-08,2.795183553566435e-07
Heel T Score,tau,S-LDSC,Conserved_LindbladToh.flanking.500,-7.068440951613468e-08,3.898375087309555e-08
Heel T Score,tau,S-LDSC,CTCF_Hoffman,-9.473599534499401e-08,7.979128533075742e-08
Heel T Score,tau,S-LDSC,CTCF_Hoffman.flanking.500,-9.792544502128611e-08,5.191753199460413e-08
Heel T Score,tau,S-LDSC,DGF_ENCODE,1.1456731510814439e-07,4.40637918301016e-08
Heel T Score,tau,S-LDSC,DGF_ENCODE.flanking.500,4.232868829330016e-08,2.3172270668624208e-08
Heel T Score,tau,S-LDSC,DHS_peaks_Trynka,2.2419399248431126e-07,7.644707593455344e-08
Heel T Score,tau,S-LDSC,DHS_Trynka,-4.280031118747156e-08,5.838694076524661e-08
Heel T Score,tau,S-LDSC,DHS_Trynka.flanking.500,2.7799673293819908e-09,3.307812719029868e-08
Heel T Score,tau,S-LDSC,Enhancer_Andersson,-1.0317276340505488e-07,1.7993218707469225e-07
Heel T Score,tau,S-LDSC,Enhancer_Andersson.flanking.500,3.8436665130827936e-08,9.18468965146329e-08
Heel T Score,tau,S-LDSC,Enhancer_Hoffman,-4.884998877475062e-08,5.3801822227828964e-08
Heel T Score,tau,S-LDSC,Enhancer_Hoffman.flanking.500,7.350292858993899e-08,5.687607859553441e-08
Heel T Score,tau,S-LDSC,FetalDHS_Trynka,-1.8318876000943607e-07,8.014813241110281e-08
Heel T Score,tau,S-LDSC,FetalDHS_Trynka.flanking.500,-6.271981511462677e-08,3.599415747201787e-08
Heel T Score,tau,S-LDSC,H3K27ac_Hnisz,2.5298095838408123e-08,1.5394326670035186e-08
Heel T Score,tau,S-LDSC,H3K27ac_Hnisz.flanking.500,-2.9064496849000602e-09,6.145912195885015e-08
Heel T Score,tau,S-LDSC,H3K27ac_PGC2,2.73518898128545e-08,2.6289937125888226e-08
Heel T Score,tau,S-LDSC,H3K27ac_PGC2.flanking.500,7.241994123108305e-08,5.423241432848806e-08
